44,Region 2,BTS Canal Bajo - BTS La Salle,OBREGON,
108,Region 9,BTS Cañito - BTS Angel Zimbron,NEXTENGO,
1,Region 1,BTS Cañon del Sol - RB Soler,LOMAS,
50,Region 1,BTS Cañon K - RB Buenos Aires,R1- OTAY - T,
37,Region 1,BTS Capistrano - RB Seminario,R1- OTAY - T,
87,Region 6,BTS CAPRICORNIO - RB LAGO,SAN LUIS POTOSI,
83,Region 9,BTS Caracol - RB Cuchilla Pantitlan,NEZA,
67,Region 6,BTS CARAMBADA - RB MODELO,QUERETARO,
31,Region 2,BTS Carbo - BTS La Colmena,HERMOSILLO,
14,Region 6,BTS CARBONO - RB PRIMAVERA,AGUASCALIENTES,
18,Region 5,BTS Carranza - BTS Caseta Cuyutlan,COLIMA,
68,Region 2,BTS Casa Blanca - BTS Las Conchas,MAZATLAN,
51,Region 7,BTS Casa Blanca - RB Chachapa,PUEBLA - TLAXCALA,
57,Region 3,BTS Caseta - RB Cruzero,DURANGO,
34,Region 3,BTS Castillo  - BTS Robinson,CHIHUAHUA,
93,Region 4,BTS Cedros - BTS La Esperanza,ZONA REYNOSA,
71,Region 5,BTS Cementera - RB Parque Liberacion,TLAQUEPAQUE - BANDERAS,
33,Region 6,BTS CENTENARIO - RB SANTA CLARA,LEON,
37,Region 9,BTS Centeno - BTS Juventino Rosas,PORTALES,
65,Region 2,BTS Central - RB Recodo,MAZATLAN,
35,Region 1,BTS Central Camionera - BTS Unidad Deportiva,R1- OTAY - T,
34,Region 6,BTS CENTRAL DE ABASTOS - RB SANTA CLARA,LEON,
61,Region 1,BTS Centro de Gobierno - BTS Esperanza,MEXICALI,
39,Region 9,BTS Centro Medico - BTS Chabacano Asturias,PORTALES,
92,Region 9,BTS Cerro Las Brujas - Unidad Minera,REVOLUCION,
145,Region 9,BTS Cipres - BTS Toluca Universidad,TOLLOCAN,
60,Region 9,BTS Ciudad Cuauhtemoc - RB Jardines de Morelos,ECATEPEC,
126,Region 9,BTS Clara Cordoba - BTS Villa De las Palmas,CUAUTITLAN,
3,Region 1,BTS Club 20 30 - RB Fco. Villa,LOMAS,
27,Region 3,BTS Club Campestre - RB Antonio Montes,CHIHUAHUA,
7,Region 8,BTS Coapan - RB Heroes,CANCUN,
36,Region 2,BTS Cocorit - RB Cajeme,OBREGON,
162,Region 9,BTS Coecillo - RB Exhacienda del Carmen,TOLLOCAN,
55,Region 4,BTS Cola de Caballo GSM - RB Santiago,ZONA SAN PEDRO,
12,Region 8,BTS Colonia Yucatán - BTS Tanlum,MÉRIDA,
12,Region 5,BTS Comala - RB Colima Dos,COLIMA,
57,Region 1,BTS Compuertas - BTS Las Hadas,MEXICALI,
37,Region 2,BTS Constitucion (Bravo) - RB Valle,OBREGON,
39,Region 3,BTS Contabilidad - RB Nogales,CHIHUAHUA,
19,Region 5,BTS Coquimatlan - BTS Los Mezquites,COLIMA,
2,Region 8,BTS Corales - RB Huaxactun,CANCUN,
7,Region 3,BTS Corona - RB Gasera,JUAREZ,
40,Region 7,BTS Covadonga - Jeronimo Caleras,PUEBLA - TLAXCALA,
17,Region 5,BTS Coyol - RB Geovillas,VERACRUZ,
49,Region 4,BTS Cristales - BTS El Uro,ZONA SAN PEDRO,
50,Region 3,BTS Cuauhtemoc - RB Estadio,TORREON,
22,Region 9,BTS Cuauhtemoc Cuernavaca - RB Las Delicias,CIVAC,
8,Region 1,BTS Cumbre de Juarez - Fundadores,LOMAS,
93,Region 1,BTS Cumbres de la Presa - RB Indeco Lomitas,ENSENADA,
32,Region 2,BTS Cumpas - RB Moctezuma,HERMOSILLO,
55,Region 6,BTS CURIE - BTS CAMELINAS,QUERETARO,
41,Region 9,BTS Chabacano - RB La Viga,PORTALES,
66,Region 6,BTS CHABACANO - RB REFORMA,QUERETARO,
85,Region 1,BTS Chapulín - BTS Lindavista,ENSENADA,
33,Region 3,BTS Chapultepec - BTS Gloria,CHIHUAHUA,
13,Region 9,BTS Chapultepec Cuernavaca - Mirador,CIVAC,
36,Region 1,BTS Chilpancingo - BTS Rancho Escondido,R1- OTAY - T,
6,Region 1,BTS Chopo - BTS Monte San Antonio,LOMAS,
23,Region 3,BTS De las Industrias - RB Dostoyevski,CHIHUAHUA,
9,Region 4,BTS Del Acero - RB Flores Magon,ZONA ANÁHUAC,
69,Region 9,BTS Deportivo 18 de Marzo - RB Industrial,MALINCHE,
77,Region 5,BTS Destiladeras - BTS Jarretaderas,VALLARTA - NAYARIT,
89,Region 1,BTS Diamante - RB Bahia,ENSENADA,
10,Region 3,BTS Dorado - BTS Los PinosFosas,JUAREZ,
11,Region 9,BTS Dos Arbolitos - RB La Palapa,CIVAC,
29,Region 3,BTS Dostoyevski - BTS Aniversario,CHIHUAHUA,
105,Region 5,BTS Dr Matías - RB El Paraíso,VALLARTA - NAYARIT,
43,Region 6,BTS DURANES - RB TRINIDAD,LEON,
32,Region 9,BTS Eje Central Doctores - RB Hospital General,PORTALES,
81,Region 1,BTS Ejido Chapultepec - RB Cipres,ENSENADA,
113,Region 9,BTS Ejido de San Juan Ixtacala - RB Reclusorio Norte,NEXTENGO,
20,Region 1,BTS Ejido Mazatlán - RB Rosarito,LOMAS,
22,Region 7,BTS El Arenal - RB Banderillas,XALAPA,
63,Region 4,BTS El Arenal - RB Nuevo Amanecer,ZONA TAMPICO,
59,Region 4,BTS El Caiman - RB Pedro Mendez,ZONA TAMPICO,
82,Region 1,BTS El Cipres - RB Valle Dorado,ENSENADA,
52,Region 1,BTS El Condor - RB Rumorosa,R1- OTAY - T,
85,Region 4,BTS El Esfuerzo - RB Presidente Cardenas,ZONA REYNOSA,
74,Region 4,BTS El Fenix - RB Mazuka,ZONA LAREDO,
40,Region 5,BTS El Lago - BTS El Realito,MORELIA,
58,Region 2,BTS El Molino - RB Campo,CULIACAN,
99,Region 5,BTS El Paraiso - BTS Valle Dorado,VALLARTA - NAYARIT,
42,Region 4,BTS El Paraiso GSM - RB Bugambilias,ZONA SAN PEDRO,
2,Region 9,BTS El Pino -  RB Los Reyes La Paz,CARRASCO,
110,Region 9,BTS El Rosario - BTS Parque Tezozomoc,NEXTENGO,
62,Region 2,BTS El Siete - RB Madero,MAZATLAN,
34,Region 4,BTS El Trueno - BTS Los Laureles,ZONA SAN PEDRO,
48,Region 4,BTS El Uro - RB Cavazos,ZONA SAN PEDRO,
96,Region 9,BTS El Venado - RB El Desmonte,REVOLUCION,
83,Region 1,BTS Emiliano Zapata - RB Piedras Negras,ENSENADA,
22,Region 2,BTS Entronque - RB La Victoria,HERMOSILLO,
90,Region 1,BTS Epoca - BTS Diamante,ENSENADA,
11,Region 7,BTS Equipamiento - RB Inst. Tecnologico,VERACRUZ,
28,Region 4,BTS Escorpion GSM - RB Villa Juarez,ZONA GUADALUPE,
81,Region 9,BTS Escuadron 201 - RB Magdalena Atlapazolpa,NEZA,
89,Region 6,BTS ESTADIO - MSC ALAMEDA,SAN LUIS POTOSI,
21,Region 2,BTS Estadio - RB Choyal,HERMOSILLO,
62,Region 7,BTS Estadio Cuauhtemoc- RB Amalucan,PUEBLA - TLAXCALA,
41,Region 5,BTS Esther Tapia - RB  Infonavit,MORELIA,
40,Region 6,BTS ESTRELLA - BTS LEON MODERNO,LEON,
48,Region 2,BTS Evora - RB La Gloria,CULIACAN,
56,Region 6,BTS FARALLON - BTS GARAMBULLO,QUERETARO,
93,Region 9,BTS Felipe Angeles - RB Pachuca Maestranza,REVOLUCION,
99,Region 9,BTS Ferrocarriles Nacionales - BTS Barrio San Marcos,NEXTENGO,
87,Region 9,BTS FES Zaragoza - RB El Eden,NEZA,
25,Region 1,BTS Festival Plaza - RB Quintas del Mar,LOMAS,
49,Region 2,BTS Fiesta - RB Rio,CULIACAN,
4,Region 7,BTS Figueroa - BTS Ixcotel,OAXACA,
9,Region 2,BTS Fiscal - BTS El Cerro,NOGALES,
45,Region 3,BTS Florencia - RB Independencia,TORREON,
58,Region 3,BTS Forestal - RB Comision,DURANGO,
23,Region 7,BTS Formosa - BTS Madero,XALAPA,
138,Region 9,BTS Fracc. Hda. De las Palmas - RB Noche Buena,TK II,
61,Region 6,BTS FUENTES - RB PIE DE LA CUESTA,QUERETARO,
26,Region 2,BTS Galeana - MSC Hermosillo,HERMOSILLO,
142,Region 9,BTS Galerias Metepec - RB Metepec Centro,TOLLOCAN,
16,Region 2,BTS Ganaderos - RB Altares,HERMOSILLO,
42,Region 6,BTS GLADIOLA - RB PUNTO VERDE,LEON,
66,Region 5,BTS Gómez Morín - BTS Colonia Jalisco,TLAQUEPAQUE - BANDERAS,
95,Region 1,BTS Gómez Morin - BTS San Angel,ENSENADA,
26,Region 4,BTS Gran Bretaña - RB Emiliano Zapata,ZONA GUADALUPE,
55,Region 2,BTS Guasavito - RB Guasave,CULIACAN,
8,Region 7,BTS Heroica Veracruz - RB Rio Medio,VERACRUZ,
